=== Basic usage ===

Sorted prices: 0.5 1.49 3.75 5 8.2 9.99 
Sorted scores: 17 42 55 63 71 88 95 
Sorted temps:  35.9 36.6 37 38.1 39.2 

=== Performance comparison ===

| Distribution | N | std::sort  | statsort| spreadsort| pdqsort |
|---|---|---|---|---|---|
| Uniform|   1000000 | 71.02  |26.41  |24.92  |**22.13**  |
| Gaussian|  1000000 | 66.15  |**21.29**  |23.42  |21.65  |
| Exponential|1000000 | 65.57  |**20.08**  |22.66  |21.64  |
|---|---|---|---|---|---|
| Uniform|   5000000 | 482.13  |171.58  |168.31  |**151.22**  |
| Gaussian|  5000000 | 396.81  |**97.70**  |114.09  |120.95  |
| Exponential|5000000 | 377.60  |**98.60**  |121.22  |127.08  |
|---|---|---|---|---|---|
| Uniform|   10000000 | 827.90  |298.29  |324.08  |**252.04**  |
| Gaussian|  10000000 | 793.03  |**225.65**  |304.01  |263.00  |
| Exponential|10000000 | 797.59  |**199.19**  |214.34  |240.12  |
|---|---|---|---|---|---|
| Uniform|   50000000 | 4178.40  |**1044.77**  |1284.14  |1335.84  |
| Gaussian|  50000000 | 4264.66  |**1170.67**  |1418.22  |1474.92  |
| Exponential|50000000 | 5407.38  |1498.63  |1593.58  |**1469.84**  |
|---|---|---|---|---|---|
| Uniform|   100000000 | 9091.15  |**3023.26**  |3656.46  |3512.72  |
| Gaussian|  100000000 | 9345.69  |**2305.04**  |3153.09  |3227.34  |
| Exponential|100000000 | 9707.58  |**3241.64**  |3472.91  |3313.80  |
|---|---|---|---|---|---|
