=== Basic usage ===

Sorted prices: 0.5 1.49 3.75 5 8.2 9.99 
Sorted scores: 17 42 55 63 71 88 95 
Sorted temps:  35.9 36.6 37 38.1 39.2 

=== Performance comparison ===

| Distribution | N| statsort  | spreadsort| pdqsort |
|---|---|---|---|---|
| Uniform|   1000000 | **19.89**  |21.29  |21.06  |
| Gaussian|  1000000 | **19.54**  |21.44  |21.04  |
| Exponential|1000000 | **16.78**  |25.99  |29.01  |
|---|---|---|---|---|
| Uniform|   5000000 | **113.58**  |134.64  |141.73  |
| Gaussian|  5000000 | **83.51**  |99.27  |114.52  |
| Exponential|5000000 | **84.57**  |101.04  |109.91  |
|---|---|---|---|---|
| Uniform|   10000000 | **176.23**  |203.70  |225.41  |
| Gaussian|  10000000 | **169.44**  |262.58  |223.46  |
| Exponential|10000000 | **167.87**  |193.34  |222.55  |
|---|---|---|---|---|
| Uniform|   50000000 | **922.30**  |1174.49  |1186.81  |
| Gaussian|  50000000 | **943.06**  |1228.45  |1207.52  |
| Exponential|50000000 | **927.14**  |1127.10  |1209.57  |
|---|---|---|---|---|
| Uniform|   100000000 | **1857.87**  |2428.57  |2419.61  |
| Gaussian|  100000000 | **1930.44**  |2612.82  |2450.86  |
| Exponential|100000000 | **1980.12**  |2478.62  |2456.93  |
|---|---|---|---|---|
| Uniform|   250000000 | **4683.38**  |6987.79  |6351.52  |
| Gaussian|  250000000 | **4898.61**  |7186.08  |6318.41  |
| Exponential|250000000 | **4932.49**  |7221.73  |6340.25  |
|---|---|---|---|---|
| Uniform|   500000000 | **9447.97**  |15291.99  |12893.63  |
| Gaussian|  500000000 | **9912.00**  |14823.69  |12997.51  |
| Exponential|500000000 | **9761.53**  |15916.87  |13094.08  |
|---|---|---|---|---|
| Uniform|   750000000 | **14267.09**  |24056.88  |19617.00  |
| Gaussian|  750000000 | **15044.40**  |24034.15  |19603.89  |
| Exponential|750000000 | **14532.94**  |24204.05  |19567.43  |
|---|---|---|---|---|


=== Basic usage ===

Sorted prices: 0.5 1.49 3.75 5 8.2 9.99 
Sorted scores: 17 42 55 63 71 88 95 
Sorted temps:  35.9 36.6 37 38.1 39.2 

=== Performance comparison ===

| Distribution | N| statsort  | spreadsort| pdqsort |
|---|---|---|---|---|
| Uniform|   1000000 | **16.63**  |21.09  |21.10  |
| Gaussian|  1000000 | **18.07**  |21.08  |21.00  |
| Exponential|1000000 | **16.73**  |20.89  |21.47  |
|---|---|---|---|---|
| Uniform|   5000000 | **88.96**  |97.74  |109.47  |
| Gaussian|  5000000 | **83.35**  |96.27  |111.12  |
| Exponential|5000000 | **86.74**  |101.40  |113.16  |
|---|---|---|---|---|
| Uniform|   10000000 | **178.65**  |200.43  |226.01  |
