=== Basic usage ===

Sorted prices: 0.5 1.49 3.75 5 8.2 9.99 
Sorted scores: 17 42 55 63 71 88 95 
Sorted temps:  35.9 36.6 37 38.1 39.2 

=== Performance comparison ===

| Distribution | N | std::sort  | statsort| spreadsort| pdqsort |
|---|---|---|---|---|---|
| Uniform|   100000000 | 6946.89  |**2227.16**  |2925.27  |2613.38  |
| Gaussian|  100000000 | 8710.76  |3826.21  |4257.20  |**2659.49**  |
| Exponential|100000000 | 6963.20  |**2246.84**  |3579.99  |2666.29  |
|---|---|---|---|---|---|
| Uniform|   200000000 | 15833.57  |**5044.90**  |6530.11  |5445.28  |
| Gaussian|  200000000 | 14591.76  |**4600.96**  |8272.74  |5583.10  |
| Exponential|200000000 | 15294.72  |**4813.15**  |6624.00  |5604.02  |
|---|---|---|---|---|---|
| Uniform|   300000000 | 22397.51  |**7914.70**  |10436.87  |8583.35  |
| Gaussian|  300000000 | 22113.32  |**7535.08**  |12805.98  |8585.32  |
| Exponential|300000000 | 22113.96  |**7765.67**  |10235.74  |8495.40  |
|---|---|---|---|---|---|
